gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,cogs,csho,dt,dvp,dvt,ebit,ebitda,ib,invt,lct,lt,ni,oancf,optdr,revt,sale,seq,tie,costat,prcc_c
022717,20211231,2021,INDL,C,D,STD,SYBT,USD,,6646.0250,675.8690,5.2490,26.5960,,0.0000,28.2050,151.4760,151.4760,74.6450,15.8260,,5970.1560,74.6450,102.1000,2.5200,242.9260,242.9260,675.8690,6.0020,A,63.8800
022741,20211231,2021,INDL,C,D,STD,CC,USD,3345.0000,7550.0000,1081.0000,4653.0000,161.0470,3987.0000,0.0000,164.0000,701.0000,1018.0000,608.0000,1099.0000,1858.0000,6468.0000,608.0000,820.0000,4.1600,6345.0000,6345.0000,1081.0000,,A,33.5600
022815,20211231,2021,INDL,C,D,STD,TRMB,USD,1450.6000,7099.6000,3944.7000,1495.2000,250.9000,1449.6000,0.0000,0.0000,593.9000,773.8000,492.7000,363.3000,1188.6000,3154.9000,492.7000,750.5000,,3659.1000,3659.1000,3944.7000,,A,87.1900
022867,20211231,2021,INDL,C,D,STD,NVTA,USD,1178.8050,4919.5670,2978.3980,273.9320,228.1160,1724.0960,0.0000,0.0000,-661.5030,-584.5680,-379.0060,33.5160,144.0950,1941.1690,-379.0060,-559.8150,0.0000,460.4490,460.4490,2978.3980,,A,15.2700
022983,20211231,2021,INDL,C,D,STD,XHR,USD,,3087.3160,1430.9860,646.3970,114.3070,1515.1090,0.0000,0.0000,-60.9630,,-143.5170,0.0000,,1649.2350,-143.5170,40.7630,,616.1880,616.1880,1430.9860,,A,18.1100
023027,20211231,2021,INDL,C,D,STD,EXPO,USD,452.7620,683.7390,417.0650,335.5730,52.1160,14.9710,0.0000,43.0210,108.9270,115.4140,101.2020,0.0000,152.9820,266.6740,101.2020,124.5680,0.0000,466.2690,466.2690,417.0650,,A,116.7300
023071,20211231,2021,INDL,C,D,STD,GDDY,USD,1889.8000,7417.1000,81.7000,1676.8000,166.9010,4061.9000,0.0000,0.0000,447.6000,647.2000,242.3000,0.0000,2436.7000,7333.9000,242.3000,829.3000,,3815.7000,3815.7000,81.7000,,A,84.8600
023083,20210930,2021,INDL,C,D,STD,ENR,USD,1439.5000,5007.5000,355.7000,1752.5000,66.8640,3465.5000,16.2000,98.8000,511.2000,629.7000,160.9000,728.3000,946.4000,4651.8000,160.9000,179.7000,,3021.5000,3021.5000,355.7000,,A,40.1000
023084,20211231,2021,INDL,C,D,STD,BHE,USD,1348.1440,1903.8800,973.8020,2012.2870,35.2130,234.6170,0.0000,23.2670,62.8170,106.3320,35.7700,523.2400,654.3820,930.0780,35.7700,-2.6220,,2255.3190,2255.3190,973.8020,,A,27.1000
023086,20211231,2021,INDL,C,D,STD,NXRT,USD,,2063.4670,469.8450,169.9350,25.5010,1554.5000,0.0000,36.2430,18.2580,22.3760,23.0370,0.0000,,1587.4830,23.0370,73.2680,,219.2400,219.2400,469.8450,,A,83.8300
023106,20211231,2021,INDL,C,D,STD,VRAY,USD,283.5470,321.8070,169.7950,63.6950,179.2060,67.8800,0.0000,0.0000,-103.6490,-97.5600,-110.0480,29.6170,76.2410,152.0120,-110.0480,-62.0910,,70.1190,70.1190,169.7950,,A,5.5100
023147,20211231,2021,INDL,C,D,STD,NSA,USD,,5562.5940,1556.8110,313.5770,91.1990,2964.9120,13.1040,144.8120,221.5930,,105.2530,0.0000,,3080.1390,105.2530,331.3490,,590.9650,590.9650,1775.2290,,A,69.2000
023167,20210930,2021,INDL,C,D,STD,BLBD,USD,156.0730,356.0200,-32.6560,597.3840,27.2050,221.9750,0.0000,0.0000,11.2180,24.6640,-0.2890,125.2060,124.7820,388.6760,-0.2890,-54.2410,0.0000,683.9950,683.9950,-32.6560,,A,15.6400
023208,20210430,2020,INDL,C,D,STD,BNED,USD,500.8330,1038.4180,301.0340,1161.2350,51.3790,454.8930,0.0000,0.0000,-123.6260,-65.6250,-131.7870,309.8040,372.9620,737.3840,-131.7870,32.8820,0.0000,1433.8900,1433.8900,301.0340,,A,4.6500
023224,20210930,2021,INDL,C,D,STD,ESE,USD,466.1540,1577.3450,1019.6960,423.5250,26.0610,216.1050,0.0000,8.3360,86.3590,128.4080,63.4960,240.9190,277.7640,557.6490,63.4960,123.1390,,715.4400,715.4400,1019.6960,,A,89.9900
023225,20211231,2021,INDL,C,D,STD,CABO,USD,500.9530,6953.9940,1793.0950,455.3520,6.0460,3853.0680,0.0000,63.4530,480.0720,819.0970,291.8240,0.0000,269.0750,5160.8990,291.8240,773.0470,0.5300,1605.8360,1605.8360,1793.0950,,A,1763.4500
023238,20211231,2021,INDL,C,D,STD,ETSY,USD,1341.5010,3831.8090,628.6190,580.2450,127.0220,2435.8830,0.0000,0.0000,502.4360,576.7030,493.5070,0.0000,615.5880,3203.1900,493.5070,651.5510,0.0000,2329.1140,2329.1140,628.6190,,A,218.9400
023245,20211231,2021,INDL,C,D,STD,BLD,USD,1187.6910,4258.5300,1636.4340,2415.9720,32.9270,1683.2100,0.0000,0.0000,507.6520,587.0530,324.0160,352.8010,733.4260,2622.0960,324.0160,403.0250,0.0000,3486.2070,3486.2070,1636.4340,,A,275.9100
023247,20211231,2021,INDL,C,D,STD,PJT,USD,,987.6250,120.2320,756.5470,24.3190,157.0130,0.0000,77.9740,207.1180,222.8680,106.1680,0.0000,,350.0530,106.1680,124.1610,,979.4150,979.4150,120.2320,,A,74.0900
023249,20210630,2021,INDL,C,D,STD,LITE,USD,2436.8000,3551.6000,1972.8000,801.2000,73.0000,1239.9000,0.0000,0.0000,325.0000,502.1000,397.3000,196.4000,664.6000,1578.8000,397.3000,738.7000,,1742.8000,1742.8000,1972.8000,,A,105.7700
