,tic,ROA,Net Profit Margin,Inventory Turnover,Dividend Payout Ratio,Dividend Yield,B/P,E/P,EBIT/P,S/P,CF/P,1/Financial Leverage,1/ROE
68,CSX,0.12486738545804446,0.12486738545804446,17.820058997050147,0.22189896852684474,0.010134417991946561,0.16294791264762706,0.0456713163617997,0.06113264536024022,0.1512552825925564,0.06159165356488143,0.3328316597172535,3.567839195979899
69,CTS,0.1176380289617766,0.1176380289617766,6.087666141477801,-0.12356088472746382,0.004377914363966649,0.3923264614380303,-0.03543123192766822,0.06615195325223604,0.43408887012132086,0.07290120263414868,0.6976742086078662,-11.072899249988057
70,CBT,0.1454930429522081,0.1454930429522081,4.67112810707457,0.32,0.025093651074161963,0.2970460945903922,0.07841765960675615,0.1508755770833988,1.0664801706518834,0.08061335407574531,0.2864488808227465,3.7880000000000003
71,CACI,0.08739768115077963,0.08739768115077963,49.32079401726561,0.0,0.0,0.4203050978771499,0.07214082879913651,0.08507386108547511,0.9531874097403807,0.09339498238530404,0.43178586773447875,5.826175064434257
72,CAMP,0.0004518159080692938,0.0004518159080692938,7.081139331445717,-0.0,0.0,0.27208213266379694,-0.16112607465074136,0.0005608465899153832,0.8830100338888691,0.08179489679964913,0.21918834499371834,-1.6886288159974427
73,CWT,0.03576188477207473,0.03576188477207473,58.10314372831459,0.46870704573547595,0.01227917357861325,0.3050736556633928,0.026197970972135217,0.03356837664983357,0.20489701877478853,0.06003007602196516,0.32500853510543376,11.644934487021015
74,CPB,0.11095960456792228,0.11095960456792228,5.77384780278671,0.44047619047619047,0.03382877762302551,0.24015384474724416,0.07634332247358461,0.09920060465130455,0.6457944124611807,0.07885762351313379,0.2686211010738026,3.145708582834331
75,CAH,0.04294423323510224,0.04294423323510224,10.642181718514458,0.9427168576104746,0.03844205560883607,0.11953076665872464,0.040777944404511865,0.12740604888414592,10.842995570487446,0.1548360573133675,0.04028974422423683,2.9312602291325693
76,CSL,0.08354032124523927,0.08354032124523927,5.397124442240952,0.29121447028423775,0.008734917347685363,0.20380182045908307,0.032684247076476644,0.04692208484728233,0.37282673396247473,0.032684247076476644,0.362849809571121,6.235475456485654
77,CRS,-0.05307619816908993,-0.05307619816908993,3.1230913789053325,-0.17029616724738678,0.027882430188973212,0.992856970642133,-0.16372905297668153,-0.11245675807675383,1.0522586697403802,0.17827640785788498,0.46859854604200324,-6.064024390243903
78,CASY,0.11040680095616587,0.11040680095616587,18.484965003244962,0.15689038031319913,0.0074380201602755385,0.29282975220185303,0.04740902626041873,0.07461338310296244,1.1597240246187541,0.12183134901785737,0.4333055923865449,6.176666666666667
79,CAT,0.09313589313106181,0.09313589313106181,2.4118107992591535,0.36584989983048233,0.021428026291742727,0.14878668297939643,0.05857054027258575,0.0696004678751593,0.4600707363590643,0.06497006455263865,0.1990989576413465,2.5402989674834338
80,CATO,-0.13399058588017285,-0.13399058588017285,5.149447832340739,-0.166628056357012,0.03649911824551802,1.1371283682107811,-0.21904545394994085,-0.3655862767744006,2.6530642559780224,-0.14166935304851597,0.4167675483386648,-5.1912895141419035
81,CVCO,0.09668187591730903,0.09668187591730903,6.587088711766768,0.0,0.0,0.42192687903006937,0.04730414775340632,0.05679571271830516,0.6838635835178564,0.07037730961131274,0.7182352366434027,8.919447851159878
82,CHE,0.2562144239727777,0.2562144239727777,135.4691858739737,0.08198100912306831,0.0027905183904034397,0.07899958070230392,0.03403859528265097,0.04360501858914168,0.27115039800022045,0.03911453505284022,0.4641858372873631,2.3208825172221186
83,JPM,0.021340609103563526,0.021340609103563526,-0.4149949568530763,0.27012041213224647,0.028004787934578296,0.5561683102610963,0.10367520067631031,0.1713620180831388,0.2728450547529281,0.16748819401682077,0.06926255093070326,5.364526006537841
84,CPK,0.061995329261528724,0.061995329261528724,15.242909238249595,0.3997148573687805,0.012960151060751829,0.30071761354374044,0.032423102491883585,0.050931610642846674,0.22140908730613545,0.058464603760075326,0.3660415846087866,9.274794527112837
85,CVX,0.06754754002546601,0.06754754002546601,18.546867565424268,0.651456,0.04494779258253245,0.6140833747003674,0.06899589931251297,0.07144663365609344,0.6871152581390653,0.12888213204699625,0.5805706890433548,8.900288
86,EAT,0.09257549782408017,0.09257549782408017,98.07958477508652,0.0015197568389057753,0.00011908440762354561,-0.18059150416110692,0.078357540216293,0.12539588122759351,1.9873996788293529,0.22012752749212403,-0.13332454173809838,-2.304711246200608
87,CHD,0.12410429562933784,0.12410429562933784,5.113746731415764,0.2990936555891239,0.009955365771199952,0.13005126711694417,0.03328511182088065,0.03991799996500538,0.20876502581456516,0.0399743131451253,0.4043268930156943,3.9071903323262833
88,CHDN,0.10316608532331635,0.10316608532331635,17.452637714951912,0.10477719791248495,0.0028436669575705275,0.03342670584607808,0.02714013176746431,0.03351386805167411,0.17401934347247688,0.03655364997183571,0.10289777300778105,1.2316338819751105
89,CTAS,0.16553251174633715,0.16553251174633715,2.7712286003339264,0.47747729907612096,0.014422017234598511,0.10026390767399442,0.030204613418279614,0.03706933288853896,0.19347658857234407,0.03699532809476942,0.4477268723632887,3.3194898502927175
90,CLF,0.22519104084321476,0.22519104084321476,2.854471858134156,0.0,0.0,0.5042034666967636,0.2744189359726648,0.3924337728953135,1.8775839113203343,0.2557753469490868,0.2893280632411067,1.8373493975903614
91,CLX,0.19340069466371962,0.19340069466371962,5.2686170212765955,0.7943661971830986,0.02634538894594565,0.01919850151911997,0.033165294595073426,0.05722181109713372,0.3429104614400479,0.059604106906075614,0.06488790653615409,0.5788732394366197
92,COKE,0.12992335085341467,0.12992335085341467,11.370822615741734,0.04944614410802827,0.0016150131623572732,0.12263108158541004,0.032662064787677816,0.07712575125462523,0.9583802355908978,0.08989131560974174,0.2065800433600246,3.754541618314168
93,KO,0.12012209339296691,0.12012209339296691,4.075864089045108,0.7420939514891004,0.028315010841201055,0.08981063775159055,0.03815556074050138,0.04425904466613884,0.1509470064910532,0.049300373999470876,0.24375225215677132,2.353802067342135
94,CDE,0.03421658627485122,0.03421658627485122,3.863325000566427,-0.0,0.0,0.618021729943729,-0.02418917382719344,0.04583138720224194,0.6431716129287357,0.08532240287261306,0.4613998208048559,-25.54951791073367
95,COHR,0.07373698337153838,0.07373698337153838,2.205491011903396,-0.0,0.0,0.13274272310075133,-0.016321888115699196,0.021296080264419506,0.22742912264693405,0.011151988041169339,0.459617349504746,-8.132804376539797
96,COHU,0.10530132386159657,0.10530132386159657,3.027978367369748,0.0,0.0,0.4772263737397797,0.09048353769850793,0.07169410993294777,0.4797744593793159,0.05284844258620937,0.700930229602778,5.274178992977738
97,CL,0.2579122340425532,0.2579122340425532,3.8882978723404253,0.6994459833795014,0.021121881941779694,0.00849057828550748,0.030198017350425623,0.05408038287271513,0.24288072957606865,0.04635660558179371,0.04049202127659575,0.2811634349030471
98,CCF,0.1546915941498272,0.1546915941498272,3.829876022029745,0.16823241317898485,0.008033867220682092,0.36605177939581063,0.047754573978171184,0.06646518177015277,0.31184629814026765,0.06507995893191686,0.8519518308388531,7.665271593944791
99,AON,0.11047404204655827,0.11047404204655827,138.91826622808844,0.3561752988047809,0.006923760934895458,0.01643425134658631,0.01943919457112707,0.05461561757593151,0.1888622306021931,0.0337978665770512,0.03324247266347088,0.8454183266932271
100,CMCSA,0.0755404940106196,0.0755404940106196,1361.3523754007579,0.32579984462179534,0.02021849244250394,0.4211652668079533,0.06205801744925499,0.09134919130428508,0.5101082252158727,0.12774510746352044,0.34827929903408783,6.786637474397909
101,CMA,0.020165722499365858,0.020165722499365858,-46.714285714285715,0.3321917808219178,0.034125322255620476,0.659902816711135,0.10272777421279565,0.16781215171062855,0.2659664291262792,0.05576148018057573,0.07929948423099688,6.423801369863013
102,CBSH,0.023225270685387437,0.023225270685387437,-6.123711340206185,0.2311625672378548,0.014668198565075195,0.41093599138773884,0.06345403903557771,0.10187196785538283,0.17156220000507474,0.07145888504408462,0.09368720203674727,6.476120316901077
103,C,0.014971548123363182,0.014971548123363182,0.16132723548550745,0.23859649122807017,0.043693339417171885,1.526905303005321,0.18318490964204684,0.2862764900774444,0.6722982983469161,0.5111102646986938,0.07985334813060761,8.335322521865889
104,CMC,0.13140552541881068,0.13140552541881068,5.833189898940225,0.13991498431690746,0.013200331473974728,0.5244111950282294,0.09434537364544154,0.13928993610370935,1.5378434155090566,0.05220947500579756,0.4947272613211844,5.5584198224601264
105,CAR,0.09221238938053097,0.09221238938053097,73.46462922096849,0.0,0.0,-0.01897863376783765,0.11085247450759718,0.17977942169169847,0.8034000739994184,0.3011564112887329,-0.009734513274336283,-0.17120622568093385
106,CMTL,0.036070489602874206,0.036070489602874206,4.446501903979691,-0.14383505715841047,0.01699701351745837,0.8052538188521371,-0.11817017251044006,0.05760876319636614,0.9354790214814975,-0.06535383057266281,0.5041923813148782,-6.8143576483396835
107,CAG,0.08835084431148517,0.08835084431148517,4.371799307958478,0.387434554973822,0.028894468731850663,0.4910566726968213,0.0745789665916686,0.11260344432265332,0.6422415827208469,0.08430041642533775,0.3852925805114527,6.5843855866954115
108,SSTK,0.1311549705885806,0.1311549705885806,3.933680309780572,0.3335872794749845,0.007590795032099917,0.11602071182761521,0.022755049425285855,0.027664263803978774,0.19153811424591555,0.0535850544088455,0.5500487255051603,5.098679842843617
